字段,含义,单位,变量属性
调度时段编号,调度时段编号，0–2399，共2400小时。,小时,输入索引
区域编号,区域编号，包括区域A至区域F。,无,输入索引
电价时段,峰谷平电价时段，谷/平/峰。,无,输入参数
购电价格,从电网购电价格。,元/兆瓦时,输入参数
售电价格,新能源富余外送或售电价格。,元/兆瓦时,输入参数
碳强度,区域电网单位购电碳排放强度。,吨二氧化碳/兆瓦时,输入参数
人工智能训练任务功率,人工智能训练任务对应的基准信息技术功率需求。,兆瓦,基准状态/建模参考
图形处理器利用率,基准运行状态下图形处理器利用率。,%,基准状态/对比指标
可用新能源出力,本区域当前时段可用新能源出力。,兆瓦,输入参数
直接消纳新能源,基准运行中直接用于满足数据中心负荷的新能源功率。,兆瓦,基准结果/优化对比
新能源充电功率,基准运行中用于给储能充电的新能源功率。,兆瓦,基准结果/优化对比
弃风弃光功率,基准运行中未被负荷、储能或外送消纳的弃风弃光功率。,兆瓦,基准结果/优化对比
信息技术侧负荷,数据中心信息技术侧负荷。,兆瓦,基准状态/约束参考
设施侧总负荷,设施侧总负荷，按信息技术侧负荷 × 能源使用效率计算。,兆瓦,基准状态/约束参考
电网购电功率,从电网购电总功率，包含直接供负荷购电和电网充电功率。,兆瓦,基准结果/优化对比
电网充电功率,从电网购电用于储能充电的功率，用于体现峰谷电价套利和储能预充电。,兆瓦,基准结果/优化对比
外送售电功率,新能源富余外送或售电功率。,兆瓦,基准结果/优化对比
净购电功率,净购电功率，等于电网购电功率 - 外送售电功率。,兆瓦,基准结果/优化对比
碳排放量,购电产生的碳排放量，等于电网购电功率 × 碳强度。,吨二氧化碳,基准结果/优化对比
需求响应等级,需求响应状态等级，表示该区域负荷调节压力或响应强度。,无量纲,输入参数/状态参考
储能荷电状态,储能系统时段末荷电状态。,兆瓦时,基准状态/优化状态变量
储能充电功率,储能总充电功率，等于新能源充电功率 + 电网充电功率。,兆瓦,基准结果/优化对比
储能放电功率,储能放电功率。,兆瓦,基准结果/优化对比
基准人工智能信息技术负荷,基准人工智能信息技术负荷（按来源区域到达即运行的任务轨迹和功率映射计算，仅用于拆分基准负荷）,兆瓦,基准对照值
非人工智能信息技术负荷,非人工智能固定信息技术负荷（不随任务迁移改变；优化时与调度形成的人工智能信息技术负荷相加）,兆瓦,输入参数
数据时段,数据时段标识（主时域0_2399为主时域；收尾时域2400_2406仅用于结清末端任务）,无,使用说明
