字段名,中文名称,单位,属性,含义与使用说明
区域编号,区域编号,无,输入索引,与区域时间数据.xlsx、工作负载轨迹.xlsx中的区域字段保持一致。
区域角色,区域角色,无,输入参数,描述区域功能定位，如东部高负荷区域、西部算力中心、光伏/风电富集区。
图形处理器总容量,总图形处理器等效调度单元,等效图形处理器单元,输入参数,区域数据中心可用于人工智能任务调度的总图形处理器等效规模。
信息技术侧最大功率,信息技术侧最大功率,兆瓦,输入约束,数据中心信息技术设备侧最大可承载功率，用于功率容量约束。
能源使用效率,能源使用效率,无量纲,输入参数,设施侧总负荷 = 信息技术侧负荷 × 能源使用效率。
设施侧最大功率,设施侧最大功率,兆瓦,输入约束,按信息技术侧最大功率 × 能源使用效率计算，是设施侧总负荷上限。
图形处理器预留比例,预留图形处理器比例,无量纲,输入参数,用于预留冗余、容错和运维资源。
可调度图形处理器容量,可调度图形处理器等效单元,等效图形处理器单元,输入约束,可调度图形处理器容量 = 图形处理器总容量 × (1 - 图形处理器预留比例)。
每小时最大图形处理器时能力,每小时最大图形处理器时能力,图形处理器时/小时,输入约束,用于简化建模时约束每小时可承接的图形处理器需求。
容量等级,容量等级,无,说明字段,用于定性描述区域算力规模。
备注,备注,无,说明字段,解释区域建模特点。
功率映射说明,任务功率映射,无,使用说明,实际信息技术功率由功率映射.xlsx 的任务类型功率系数和逐时图形处理器占用计算；信息技术侧最大功率仅为上限。
